类型,应用,地址信息,备注,,,,,,,,,,,,,,,,,,,,,,,
公共组件,nacos,http://192.168.13.10:8848/nacos     没有密码,"部署目录：/data1/semptian/service/nacos
,达芬奇报表引擎,192.168.13.9:10086/," 部署目录：/data1/semptian/service/deye-bi-report-element
启动命令：sh /data1/semptian/service/deye-bi-report-element/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-bi-report-element/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
群组挖掘,群组挖掘web,192.168.13.7:8092/community_dig," 部署目录：/data1/semptian/service/deye-community-dig-web-v6.4.8.2
启动命令：sh /data1/semptian/service/deye-community-dig-web-v6.4.8.2/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-community-dig-web-v6.4.8.2/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,群组挖掘job,192.168.13.7:8899/community_dig," 部署目录：/data1/semptian/service/deye-community-dig-job-v6.4.8.2
启动命令：sh /data1/semptian/service/deye-community-dig-job-v6.4.8.2/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-community-dig-job-v6.4.8.2/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,群组挖掘前端,192.168.13.10, 部署目录：/semptian/web,,,,,,,,,,,,,,,,,,,,,,,
统计分析,统计分析web,192.168.13.9:8092/statistical_analysis," 部署目录：/data1/semptian/service/deye-analysis-web-v6.4.1.1
启动命令：sh /data1/semptian/service/deye-analysis-web-v6.4.1.1/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-analysis-web-v6.4.1.1/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,统计分析前端,192.168.13.10, 部署目录：/semptian/web,,,,,,,,,,,,,,,,,,,,,,,
GK专题,GK专题前端,192.168.13.10, 部署目录：/semptian/web,,,,,,,,,,,,,,,,,,,,,,,
,目标提取web,192.168.13.9:8218/target_subject," 部署目录：/data1/semptian/service/deye-target-subject-web-v6.4.9
启动命令：sh /data1/semptian/service/deye-target-subject-web-v6.4.9/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-target-subject-web-v6.4.9/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,GK专题web,192.168.13.7:8868/security_detection," 部署目录：/data1/semptian/service/deye-examination-subject-web-6.4.0.1
启动命令：sh /data1/semptian/service/deye-examination-subject-web-6.4.0.1/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-examination-subject-web-6.4.0.1/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
AI服务,nginx,192.168.13.30（8022端口对应银行、高频词和航班服务；5114端口对应垃圾邮件online_training服务）," 部署目录：/opt/nginx-1.10.2
启动命令：systemctl start nginx
关闭命令：systemctl stop nginx
配置文件重新加载：systemctl reload nginx",,,,,,,,,,,,,,,,,,,,,,,
